"","sector","y11","y12","av","y11se","y12se","traceel","y11.lo","y11.hi","y12.lo","y12.hi"
"1","11742",8659.27115583075,6531.60973888497,7595.44044735786,449.134764270137,325.271470373869,"ca",7778.96701786129,9539.57529380022,5894.07765695219,7169.14182081775
"2","10531",4578.84147869674,8692.17672621922,6635.50910245798,908.436504593507,392.77492722449,"ca",2798.30592969347,6359.37702770002,7922.33786885922,9462.01558357922
"3","9123",4226.81798245614,9130.47706422018,6678.64752333816,103.786098182158,226.608991323769,"ca",4023.39723001911,4430.23873489317,8686.3234412256,9574.63068721477
"4","7934",3638.44355453852,7818.0371341197,5728.24034432911,60.9948149595725,222.010178242005,"ca",3518.89371721776,3757.99339185928,7382.89718476537,8253.17708347403
"5","10544",5324.9451754386,7895.7752293578,6610.3602023982,510.002850758342,229.873706937335,"ca",4325.33958795225,6324.55076292495,7445.22276376062,8346.32769495497
"6","10512",4422.2302631579,17100.3615252294,10761.2958941936,387.984393625681,814.911433394442,"ca",3661.78085165156,5182.67967466423,15503.1351157763,18697.5879346825
"7","11742",2.08222652218782,1.69677134791814,1.88949893505298,0.110542237446661,0.112081646521587,"cu",1.86556373679237,2.29888930758328,1.47709132073583,1.91645137510045
"8","10531",1.57953007518797,2.74157170449058,2.16055088983928,0.102940793633593,0.221344485101922,"cu",1.37776611966613,1.78129403070981,2.30773651369082,3.17540689529035
"9","9123",1.88360275689223,1.48894012554322,1.68627144121772,0.0384273969653154,0.0515719001518757,"cu",1.80828505884021,1.95892045494425,1.38785920124554,1.59002104984089
"10","7934",1.67377955758963,0.964943206640454,1.31936138211504,0.0347715654798443,0.0325807984689436,"cu",1.60562728924913,1.74193182593012,0.901084841641325,1.02880157163958
"11","10544",1.77610745614035,1.94861511577108,1.86236128595572,0.12959137252243,0.0987249222823248,"cu",1.52210836599639,2.03010654628431,1.75511426809772,2.14211596344444
"12","10512",1.4918201754386,1.403125,1.4474725877193,0.139383107547661,0.059758544208051,"cu",1.21862928464518,1.76501106623201,1.28599825335222,1.52025174664778
"13","11742",1.70139318885449,2.47615031757234,2.08877175321341,0.128222154839434,0.103432253388969,"co",1.4500777653692,1.95270861233978,2.27342310092996,2.67887753421472
"14","10531",1.76338345864662,2.14663206180589,1.95500776022625,0.218463684567096,0.0921201469721794,"co",1.33519463689511,2.19157228039813,1.96607657374042,2.32718754987136
"15","9123",1.02890977443609,1.66926364075326,1.34908670759467,0.0224512488055813,0.060281768985312,"co",0.984905326777151,1.07291422209503,1.55111137354205,1.78741590796447
"16","7934",1.1208466819222,1.91266710353866,1.51675689273043,0.012759153140693,0.0529753103291346,"co",1.09583874176644,1.14585462207796,1.80883549529356,2.01649871178377
"17","10544",1.39875,1.15771734381826,1.27823367190913,0.162030893227147,0.0412831155123485,"co",1.08116944927479,1.71633055072521,1.07680243741406,1.23863225022246
"18","10512",2.64164473684211,1.23893635321101,1.94029054502656,0.282845819860397,0.0503170276678066,"co",2.08726692991573,3.19602254376848,1.14031497898211,1.33755772743991
"19","11742",1355.37306501548,1458.87548341567,1407.12427421557,79.8890455726318,104.491715191963,"fe",1198.79053569312,1511.95559433784,1254.07172163942,1663.67924519191
"20","10531",863.766917293233,706.565596330275,785.166256811754,96.881667172552,39.1528443417622,"fe",673.878849635031,1053.65498495143,629.826021420421,783.305171240129
"21","9123",609.593984962406,960.325992274264,784.959988618335,14.488630968328,67.4294931995275,"fe",581.196268264483,637.991701660329,828.16418560319,1092.48779894534
"22","7934",653.058924485126,768.995897771953,711.027411128539,13.5009611818311,18.4341334847248,"fe",626.597040568737,679.520808401515,732.864996141892,805.126799402013
"23","10544",1476.25,1181.4244648318,1328.8372324159,219.138876987575,66.4612465911792,"fe",1046.73780110435,1905.76219889565,1051.16042151309,1311.68850815052
"24","10512",539.717105263158,862.969065366972,701.343085315065,54.4021915494551,26.3654775934284,"fe",433.088809826226,646.34540070009,811.292729283853,914.645401450092
"25","11742",26.5630839370485,24.8518278052223,25.7074558711354,1.74648613777322,1.86696229498464,"mn",23.139971107013,29.986196767084,21.1925817070524,28.5110739033922
"26","10531",20.1017335213033,26.0594060840174,23.0805698026603,1.44499123409497,1.66677685496952,"mn",17.2695507024771,22.9339163401294,22.7925234482771,29.3262887197576
"27","9123",12.9552151065163,21.2059826170932,17.0805988618047,0.262306488648638,0.699135677448774,"mn",12.441094388765,13.4693358242676,19.8356766892936,22.5762885448928
"28","7934",14.1702364530892,18.3367190913062,16.2534777721977,0.179832202506796,0.549963591988281,"mn",13.8177653361759,14.5227075700026,17.2587904510092,19.4146477316033
"29","10544",17.7643932675439,20.2895806028834,19.0269869352136,1.49785874025796,0.742666028980352,"mn",14.8285901366383,20.7001963984495,18.8339551860819,21.7452060196848
"30","10512",6.97795278508772,20.0567201834862,13.517336484287,0.651861506166149,0.646981012259471,"mn",5.70030423300207,8.25560133717337,18.7886373994577,21.3248029675148
"31","11742",6.62694530443756,5.88450247000706,6.25572388722231,0.275667997170859,0.314347419157691,"zn",6.08663602998268,7.16725457889245,5.26838152845798,6.50062341155613
"32","10531",5.09829573934837,4.23647996137132,4.66738785035984,0.492390405355984,0.227301004086906,"zn",4.13321054485064,6.0633809338461,3.79096999336098,4.68198992938165
"33","9123",6.17153258145363,4.4556687590536,5.31360067025362,0.133103903724398,0.167234205466581,"zn",5.91064893015381,6.43241623275345,4.1278897163391,4.7834478017681
"34","7934",5.84319069412662,5.31106159895151,5.57712614653906,0.0954416251668067,0.227748156629177,"zn",5.65612510879968,6.03025627945356,4.86467521195832,5.75744798594469
