"","sector","y11ca","y12ca","avca","serrca","ci.loca","ci.hica","y11cu","y12cu","avcu","serrcu","ci.locu","ci.hicu","y11co","y12co","avco","serrco","ci.loco","ci.hico","y11fe","y12fe","avfe","serrfe","ci.lofe","ci.hife","y11mn","y12mn","avmn","serrmn","ci.lomn","ci.himn","y11zn","y12zn","avzn","serrzn","ci.lozn","ci.hizn","plague","f1","f1p","sector","av.pla.i","av.f1.i","total.case","total.plague","fecu11","fecu12","feco11","feco12","fecuav","fecoav"
"4",7934,7561.48913,11823.38095,9692.435041,2130.945911,5515.781056,13869.08903,5.243586957,6.127142857,5.685364907,0.44177795,4.819480124,6.551249689,1.450434783,3.621904762,2.536169772,1.08573499,0.408129193,4.664210352,926.3369565,1143.138571,1034.737764,108.4008075,822.2721814,1247.203347,31.49391304,36.27142857,33.88267081,2.388757764,29.20070559,38.56463602,19.03065217,26.20333333,22.61699275,3.58634058,15.58776522,29.64622029,19,13,0.684210526315789,7934,0.95,0.684210526315789,20,19,390.170211796338,459.436784423013,582.647863457257,686.084823352611,424.803498109675,634.366343404934
"3",9123,5560.857143,9468.947368,7514.902256,1954.045113,3684.973835,11344.83068,3.889642857,6.016842105,4.953242481,1.063599624,2.868587218,7.037897744,1.376428571,3.504736842,2.440582707,1.064154135,0.354840602,4.526324812,878.5714286,1522.676316,1200.623872,322.0524436,569.4010827,1831.846662,22.99928571,38.42842105,30.71385338,7.714567669,15.59330075,45.83440602,16.23892857,24.07789474,20.15841165,3.919483083,12.47622481,27.8405985,5,1,0.2,9123,0.714285714285714,0.2,7,5,323.631924370391,509.834671222669,592.465928605357,933.343249460902,416.73329779653,762.904589033129
"6",10512,3228.9375,22065.71875,12647.32813,9418.390625,-5812.7175,31107.37375,6.59625,6.514375,6.5553125,0.0409375,6.475075,6.63555,4.82375,3.7509375,4.28734375,0.53640625,3.2359875,5.3387,1697.625,1317.218125,1507.421563,190.2034375,1134.622825,1880.2203,28.83916625,51.8,40.31958313,11.48041688,17.81796605,62.8212002,21.14175,22.97625,22.059,0.91725,20.26119,23.85681,2,2,1,10512,1,1,2,2,361.784291531303,578.46721714516,204.311010385276,326.678698816476,470.125754338232,265.494854600876
"2",10531,9937.857143,16898,13417.92857,3480.071429,6596.988571,20238.86857,5.792857143,7.178947368,6.485902256,0.693045113,5.127533835,7.844270677,3.65,4.011578947,3.830789474,0.180789474,3.476442105,4.185136842,1932.142857,1499.454211,1715.798534,216.3443233,1291.76366,2139.833408,50.14428571,58.97894737,54.56161654,4.417330827,45.90364812,63.21958496,12.88857143,24.34210526,18.61533835,5.726766917,7.390875188,29.8398015,0,0,NA,10531,0,NA,0,0,546.850567052635,447.326459577663,489.83498912719,400.687435773361,497.088513315149,445.261212450275
"5",10544,6768.25,11904.97619,9336.613095,2568.363095,4302.621429,14370.60476,4.55,6.930238095,5.740119048,1.190119048,3.407485714,8.072752381,2.94375,3.261428571,3.102589286,0.158839286,2.791264286,3.413914286,2031.5,2249.260952,2140.380476,108.8804762,1926.974743,2353.78621,32.6175,47.23142857,39.92446429,7.306964286,25.60281429,54.24611429,18.085,27.82809524,22.95654762,4.871547619,13.40831429,32.50478095,8,6,0.75,10544,0.8,0.75,10,8,831.171557157939,665.176231734958,1055.40661304736,844.628750549991,748.173894446448,950.017681798677
"1",11742,12514.26471,13214.53846,12864.40158,350.1368778,12178.1333,13550.66986,6.004117647,6.287692308,6.145904977,0.14178733,5.86800181,6.423808145,3.282941176,5.190769231,4.236855204,0.953914027,2.36718371,6.106526697,2150.735294,2123.032308,2136.883801,13.85149321,2109.734874,2164.032728,49.48117647,57.23,53.35558824,3.874411765,45.76174118,60.94943529,16.69705882,20.75307692,18.72506787,2.02800905,14.75017014,22.69996561,12,2,0.166666666666667,11742,0.444444444444444,0.166666666666667,27,12,650.924887649291,700.632456589215,796.625420798835,857.459341539917,675.778672119253,827.042381169376
